zone_code,stand_code,stand_name,rows,ic_votes,ad_votes,candidate_votes,ic_pct_candidate_votes,ad_pct_candidate_votes
19,54,LA CORUÑA - LICEO CONTADORA,7,1243,586,1829,67.9606,32.0394
19,55,TANQUE-SIERRA MORENA,7,1136,330,1466,77.4898,22.5102
19,56,ICES LAS BRISAS,2,353,105,458,77.0742,22.9258
19,57,ALTOS DE LA ESTANCIA,5,769,141,910,84.5055,15.4945
19,58,SALON COMUNAL LOS SAUCES,2,364,149,513,70.9552,29.0448
19,59,GRAN PLAZA EL ENSUEÑO,40,6778,3044,9822,69.0083,30.9917
19,60,CASA LINDA TUNAL UNIDAD 2,5,879,471,1350,65.1111,34.8889
19,61,ARBORIZADORA BAJA SALON COMUNAL,8,1519,474,1993,76.2168,23.7832
19,62,SALON COMUNAL SIERRA MORENA I,7,1208,358,1566,77.1392,22.8608
19,63,POLIDEPORTIVO LA ESTANCIA,12,2322,801,3123,74.3516,25.6484
19,64,CALASANZ BUENAVISTA,5,1015,329,1344,75.5208,24.4792
19,65,SALON COMUNAL SAN  FRANCISCO I SECTOR,5,878,291,1169,75.1069,24.8931
19,66,CASA DE LA CULTURA CIUDAD BOLIVAR,9,1545,556,2101,73.5364,26.4636
19,67,COLEGIO CIUDAD BOLIVAR ARGENTINA IED,7,1211,376,1587,76.3075,23.6925
19,68,ROGELIO SALMONA,11,1823,1180,3003,60.706,39.294
19,69,JARDIN INFANTIL LARA BONILLA,5,852,312,1164,73.1959,26.8041
19,70,CENTRO COMERCIAL PASEO DEL RIO,7,1370,694,2064,66.376,33.624
19,71,JARDIN INFANTIL CANDELARIA LA NUEVA,4,726,391,1117,64.9955,35.0045
19,72,SALON COMUNAL LAS HUERTAS,2,403,161,564,71.4539,28.5461
19,73,COLEGIO DISTRITAL EL NOGAL,1,105,40,145,72.4138,27.5862
19,74,COL DIST PARAISO MIRADOR SEDE CASETAS,3,480,236,716,67.0391,32.9609
19,75,UNIVERSIDAD MINUTO DE DIOS SEDE SUR,4,729,460,1189,61.312,38.688
19,76,SALON COMUNAL LA ESTANCIA,7,1274,572,1846,69.0141,30.9859
19,77,COL DIST PARAISO MANUELA BELTRAN SEDE B,3,414,180,594,69.697,30.303
20,01,SAN JUAN DE SUMAPAZ,2,460,4,464,99.1379,0.8621
20,02,NAZARETH,3,238,120,358,66.4804,33.5196
20,03,BETANIA,1,82,72,154,53.2468,46.7532
20,04,LA UNION,2,351,5,356,98.5955,1.4045
20,05,LA Y SANTA ROSA,1,117,24,141,82.9787,17.0213
90,01,PUESTO CENSO(FERIA EXPOSICION),142,15303,14980,30283,50.5333,49.4667
98,01,PENITENCIARIA LA PICOTA,2,164,47,211,77.7251,22.2749
98,02,CARCEL DISTRITAL JUDICIAL MODELO,1,81,47,128,63.2812,36.7188
98,03,RECLUSION DE MUJERES EL BUEN PASTOR,1,37,13,50,74.0,26.0
98,04,CARCEL DISTRITAL,1,116,39,155,74.8387,25.1613
